Country,Technology,Month,Real (TWh),Model (TWh),Diff (TWh),Diff (%)
Spain,Nuclear,2024-07,5.078745102,4.755270835284697,-0.3234742667153032,-6.369177035246752
Spain,Carbón,2024-07,0.213591815,0.0,-0.213591815,-100.0
Spain,Ciclo combinado,2024-07,3.253127075,2.2658941517247264,-0.9872329232752737,-30.347198265388194
Spain,Eólica,2024-07,4.230016563,3.862194664276136,-0.3678218987238644,-8.695519113121362
Spain,Solar fotovoltaica,2024-07,5.8260988209999995,5.184403920772539,-0.6416949002274608,-11.014143768287806
France,Nuclear,2024-07,28.581336680507,31.33919210649678,2.7578554259897814,9.649147822644313
France,Hydropower,2024-07,5.932969534866,0.007672361468027769,-5.925297173397973,-99.87068260804409
France,Wind,2024-07,2.142191695704,2.2563002840635766,0.11410858835957649,5.32672162759348
France,Solar,2024-07,3.310858225493,2.9481304488499998,-0.36272777664300015,-10.955702477685783
Portugal,Wind,2024-07,0.77,1.1952766024996078,0.42527660249960775,55.23072759735166
Portugal,Hydro,2024-07,0.53,3.3396990482901376,2.8096990482901374,530.1318959037995
Portugal,Solar,2024-07,0.93,0.9446235361812755,0.014623536181275432,1.5724232452984335
Portugal,Gas,2024-07,0.38,0.0,-0.38,-100.0
Portugal,Bioenergy,2024-07,0.27,0.0,-0.27,-100.0
