p_nom,max_hours,efficiency_store,efficiency_dispatch,standing_loss,marginal_cost,cyclic_state_of_charge,technology,lat,long,name,note,closest_bus,canary
32.5,30.49,0.922,0.922,4e-05,1,False,PHS,39.71587,-6.89634,TORREAL,PHS,ES0 36,False
200.0,4.43,0.922,0.922,4e-05,1,False,Li-ion,36.01291,-5.60502,ST PALMOSILLA,Li-ion,ES0 42,False
77.6,4.38,0.922,0.922,4e-05,1,False,Li-ion,36.01291,-5.60502,ST Cerrillo,Li-ion,ES0 42,False
60.0,5.17,0.922,0.922,4e-05,1,False,Li-ion,37.93882,-4.49932,Solacor TES1,Li-ion,ES0 32,False
60.0,4.75,0.922,0.922,4e-05,1,False,Li-ion,39.22127,-3.5005,Helios TES 2,Li-ion,ES0 37,False
60.0,4.75,0.922,0.922,4e-05,1,False,Li-ion,39.22127,-3.5005,Helios TES1,Li-ion,ES0 37,False
60.0,4.75,0.922,0.922,4e-05,1,False,Li-ion,37.93882,-4.49932,Solacor TES2,Li-ion,ES0 32,False
49.35,4.57,0.922,0.922,4e-05,1,False,Li-ion,42.4662,-8.27073,BESS BEARIZ,Li-ion,ES0 15,False
100.0,2.25,0.922,0.922,4e-05,1,False,PHS,43.24847,-8.58162,CHR MONTEMAIOR,Bombeo (Greenfield),ES0 11,False
92.46,2.0,0.922,0.922,4e-05,1,False,Li-ion,39.13989,-1.07285,BESS I,Li-ion,ES0 40,False
41.58,4.13,0.922,0.922,4e-05,1,False,Li-ion,37.29913,-3.13733,BAT DÓLAR 1,Li-ion,ES0 22,False
42.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,36.75634,-5.8137,ARCOS I HIBRIDACIÓN,Li-ion,ES0 29,False
42.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,36.64758,-5.93486,PRISCA HIBRIDACIÓN,Li-ion,ES0 29,False
37.46,4.13,0.922,0.922,4e-05,1,False,Li-ion,42.84557,-8.91408,BAT PEDREGAL TREMUZO,Li-ion,ES0 11,False
35.2,4.12,0.922,0.922,4e-05,1,False,Li-ion,43.03953,-7.4568,BAT MURAS,Li-ion,ES0 30,False
35.0,4.13,0.922,0.922,4e-05,1,False,Li-ion,42.63096,-4.85566,BESS HIBRIDACIÓN FV VIRGEN DE AREÑOS III,Li-ion,ES0 44,False
35.0,4.13,0.922,0.922,4e-05,1,False,Li-ion,39.71587,-6.89634,BAT TAGUS III,Li-ion,ES0 36,False
35.0,4.13,0.922,0.922,4e-05,1,False,Li-ion,39.71587,-6.89634,BAT TAGUS IV,Li-ion,ES0 36,False
35.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,37.80173,-5.10703,BESS Gamonarejo 36,Li-ion,ES0 32,False
30.0,4.13,0.922,0.922,4e-05,1,False,Li-ion,39.63276,-7.40761,BAT SAN ANTONIO,Li-ion,ES0 36,False
30.0,4.13,0.922,0.922,4e-05,1,False,Li-ion,42.29758,-3.98919,BESS HIBRIDACIÓN PE IGLESIAS,Li-ion,ES0 28,False
30.0,4.13,0.922,0.922,4e-05,1,False,Li-ion,39.32083,-6.29307,BAT MAJADA ALTA,Li-ion,ES0 36,False
12.0,10.0,0.922,0.922,4e-05,1,False,Termico,36.18628,-5.48827,ACERINOX AT Salesol,Termico,ES0 42,False
30.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,41.87376,-2.10259,Trevago I,Li-ion,ES0 0,False
30.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,41.87376,-2.10259,Trevago II,Li-ion,ES0 0,False
50.0,2.22,0.922,0.922,4e-05,1,False,PHS,36.66947,-5.99835,CHR LAS MAJADILLAS,Bombeo (Greenfield),ES0 29,False
7.0,15.76,0.922,0.922,4e-05,1,False,Li-ion,37.11341,-4.70313,Proyecto de almacenamiento energético con Grid Forming en nueva fábrica de BESS,Li-ion,ES0 45,False
25.53,4.13,0.922,0.922,4e-05,1,False,Li-ion,42.76141,-8.7682,BAT MONTE TREITO,Li-ion,ES0 11,False
25.08,4.0,0.922,0.922,4e-05,1,False,Li-ion,38.68543,-1.43822,HIB BESS LOS PEDREROS,Li-ion,ES0 16,False
25.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,37.28369,-5.92267,DOS HERMANAS TZ HIBRIDACIÓN,Li-ion,ES0 1,False
45.72,2.0,0.922,0.922,4e-05,1,False,Li-ion,38.87115,-6.98035,"Almacenamiento Central Híbrida ""Los Limonetes""",Li-ion,ES0 10,False
22.1,4.0,0.922,0.922,4e-05,1,False,Li-ion,37.17694,-2.94856,BESS EL CORTIJO,Li-ion,ES0 17,False
22.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,39.21973,-3.50111,Helios ST1,Li-ion,ES0 37,False
22.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,39.21973,-3.50111,Helios ST2,Li-ion,ES0 37,False
