Project Name,Capacity (MW),Latitude,Longitude
Andasol 1 solar farm,50,37.2282,-3.0685
Andasol 2 solar farm,50,37.2164,-3.0565
Andasol 3 solar farm,50,37.2262,-3.0508
Arenales Thermosolar solar farm,50,37.1549,-5.5530
Aste CSP solar farm,50,39.1800,-3.2647
Aste CSP solar farm,50,39.1730,-3.2670
Astexol 2 CSP solar farm,49.9,38.8121,-7.0590
Borges CSP solar farm,24.2,41.5292,0.8001
Casablanca CSP solar farm,49.9,39.2416,-5.3117
El Carpio 1 Thermosolar farm,50,37.9557,-4.5029
El Carpio 2 Thermosolar farm,50,37.9610,-4.4754
Enerstar Villena Thermosolar solar farm,49.9,38.7292,-0.9212
Extresol CSP solar farm,50,38.6447,-6.7351
Extresol CSP solar farm,49.9,38.6388,-6.7471
Extresol CSP solar farm,49.9,38.6270,-6.7457
Gemasolar CSP solar farm,19.9,37.5578,-5.3257
Guzmán Thermosolar farm,50,37.6499,-5.2698
Heineken (Quart de Poblet) CSP solar farm,30,39.4741,-0.5091
Heineken (Seville) CSP solar farm,30,37.3940,-5.8628
Helioenergy 1 solar farm,50,37.5677,-5.1493
Helioenergy 2 solar farm,50,37.5757,-5.1668
Helios 1 CSP solar farm,50,39.2379,-3.4688
Helios 2 CSP solar farm,50,39.2379,-3.4688
Ibersol Ciudad Real CSP solar farm,50,38.6433,-3.9750
La Africana Thermosolar farm,49.9,37.7553,-5.0576
La Dehesa CSP solar farm,49.9,38.9507,-6.4683
La Florida CSP solar farm,49.9,38.8158,-6.8375
La Risca - Alvarado 1 CSP solar farm,50,38.8270,-6.8260
Lebrija 1 CSP solar farm,50,37.0058,-6.0490
Majadas CSP solar farm,50,39.9696,-5.7417
Manchasol CSP solar farm,50,39.1887,-3.3116
Manchasol CSP solar farm,50,39.1772,-3.3131
Morón Thermosolar solar farm,49.9,37.1182,-5.5711
Olivenza solar farm,50,38.7548,-7.1439
Orellana CSP solar farm,49.9,38.9920,-5.5490
PS-10 CSP solar farm,11,37.4425,-6.2500
PS-20 CSP solar farm,20,37.4401,-6.2601
Palma del Río 1 CSP solar farm,49.9,37.6450,-5.2580
Palma del Río 2 CSP solar farm,50,37.6450,-5.2580
Perogordo CSF solar farm,45.1,40.9292,-4.1586
Puerto Errado CSP solar farm,1.4,38.2837,-1.6002
Puerto Errado CSP solar farm,30,38.2837,-1.6002
Solaben 1 CSP solar farm,50,39.2125,-5.4031
Solaben 2 CSP solar farm,50,39.2291,-5.3980
Solaben 3 CSP solar farm,50,39.2250,-5.3985
Solaben 6 CSP solar farm,50,39.2291,-5.3980
Solnova solar farm,50,37.4141,-6.2662
Solnova solar farm,50,37.4189,-6.2810
Solnova solar farm,50,37.4250,-6.2781
Termosol 1 CSP solar farm,49.9,39.1920,-5.5864
Termosol 2 CSP solar farm,49.9,39.1748,-5.5979
Valle 1 CSP solar farm,50,36.6579,-5.8565
Valle 2 CSP solar farm,50,36.6579,-5.8565
