Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Portugal,PRT,1/1/24 00:00,1/1/24 00:00,50.09
Portugal,PRT,1/1/24 01:00,1/1/24 01:00,47.5
Portugal,PRT,1/1/24 02:00,1/1/24 02:00,43.5
Portugal,PRT,1/1/24 03:00,1/1/24 03:00,42.5
Portugal,PRT,1/1/24 04:00,1/1/24 04:00,42.09
Portugal,PRT,1/1/24 05:00,1/1/24 05:00,42.5
Portugal,PRT,1/1/24 06:00,1/1/24 06:00,42.59
Portugal,PRT,1/1/24 07:00,1/1/24 07:00,43.37
Portugal,PRT,1/1/24 08:00,1/1/24 08:00,42.29
Portugal,PRT,1/1/24 09:00,1/1/24 09:00,35.61
Portugal,PRT,1/1/24 10:00,1/1/24 10:00,29.8
Portugal,PRT,1/1/24 11:00,1/1/24 11:00,3.2
Portugal,PRT,1/1/24 12:00,1/1/24 12:00,2.06
Portugal,PRT,1/1/24 13:00,1/1/24 13:00,1.73
Portugal,PRT,1/1/24 14:00,1/1/24 14:00,5.72
Portugal,PRT,1/1/24 15:00,1/1/24 15:00,18.49
Portugal,PRT,1/1/24 16:00,1/1/24 16:00,37
Portugal,PRT,1/1/24 17:00,1/1/24 17:00,47.5
Portugal,PRT,1/1/24 18:00,1/1/24 18:00,54.97
Portugal,PRT,1/1/24 19:00,1/1/24 19:00,60.9
Portugal,PRT,1/1/24 20:00,1/1/24 20:00,60
Portugal,PRT,1/1/24 21:00,1/1/24 21:00,47.5
Portugal,PRT,1/1/24 22:00,1/1/24 22:00,42.09
Portugal,PRT,1/1/24 23:00,1/1/24 23:00,37.8
Portugal,PRT,2/1/24 00:00,2/1/24 00:00,25.61
Portugal,PRT,2/1/24 01:00,2/1/24 01:00,20.61
Portugal,PRT,2/1/24 02:00,2/1/24 02:00,14.54
Portugal,PRT,2/1/24 03:00,2/1/24 03:00,13.21
Portugal,PRT,2/1/24 04:00,2/1/24 04:00,14.54
Portugal,PRT,2/1/24 05:00,2/1/24 05:00,36.29
Portugal,PRT,2/1/24 06:00,2/1/24 06:00,44.7
Portugal,PRT,2/1/24 07:00,2/1/24 07:00,53.78
Portugal,PRT,2/1/24 08:00,2/1/24 08:00,54.23
Portugal,PRT,2/1/24 09:00,2/1/24 09:00,50
Portugal,PRT,2/1/24 10:00,2/1/24 10:00,52.2
Portugal,PRT,2/1/24 11:00,2/1/24 11:00,45
Portugal,PRT,2/1/24 12:00,2/1/24 12:00,43
Portugal,PRT,2/1/24 13:00,2/1/24 13:00,43
Portugal,PRT,2/1/24 14:00,2/1/24 14:00,40.99
Portugal,PRT,2/1/24 15:00,2/1/24 15:00,43.66
Portugal,PRT,2/1/24 16:00,2/1/24 16:00,52.2
Portugal,PRT,2/1/24 17:00,2/1/24 17:00,57.77
Portugal,PRT,2/1/24 18:00,2/1/24 18:00,62.45
Portugal,PRT,2/1/24 19:00,2/1/24 19:00,58
Portugal,PRT,2/1/24 20:00,2/1/24 20:00,52.83
Portugal,PRT,2/1/24 21:00,2/1/24 21:00,46.26
Portugal,PRT,2/1/24 22:00,2/1/24 22:00,40.1
Portugal,PRT,2/1/24 23:00,2/1/24 23:00,6.8
Portugal,PRT,3/1/24 00:00,3/1/24 00:00,3.2
Portugal,PRT,3/1/24 01:00,3/1/24 01:00,3.2
Portugal,PRT,3/1/24 02:00,3/1/24 02:00,3.2
Portugal,PRT,3/1/24 03:00,3/1/24 03:00,3.2
Portugal,PRT,3/1/24 04:00,3/1/24 04:00,2.21
Portugal,PRT,3/1/24 05:00,3/1/24 05:00,4.78
Portugal,PRT,3/1/24 06:00,3/1/24 06:00,45.42
Portugal,PRT,3/1/24 07:00,3/1/24 07:00,61.92
Portugal,PRT,3/1/24 08:00,3/1/24 08:00,67
Portugal,PRT,3/1/24 09:00,3/1/24 09:00,63.6
Portugal,PRT,3/1/24 10:00,3/1/24 10:00,58.5
Portugal,PRT,3/1/24 11:00,3/1/24 11:00,63.6
Portugal,PRT,3/1/24 12:00,3/1/24 12:00,63.35
Portugal,PRT,3/1/24 13:00,3/1/24 13:00,63.6
Portugal,PRT,3/1/24 14:00,3/1/24 14:00,66.03
Portugal,PRT,3/1/24 15:00,3/1/24 15:00,67.52
Portugal,PRT,3/1/24 16:00,3/1/24 16:00,89.57
Portugal,PRT,3/1/24 17:00,3/1/24 17:00,94.2
Portugal,PRT,3/1/24 18:00,3/1/24 18:00,104.35
Portugal,PRT,3/1/24 19:00,3/1/24 19:00,113.26
Portugal,PRT,3/1/24 20:00,3/1/24 20:00,113.26
Portugal,PRT,3/1/24 21:00,3/1/24 21:00,94.2
Portugal,PRT,3/1/24 22:00,3/1/24 22:00,86.58
Portugal,PRT,3/1/24 23:00,3/1/24 23:00,90.39
Portugal,PRT,4/1/24 00:00,4/1/24 00:00,87
Portugal,PRT,4/1/24 01:00,4/1/24 01:00,80.21
