Delivery day,"MIBGAS PVB Last Price Index Day-Ahead
[EUR/MWh]"
31/12/2024,48.67
30/12/2024,48.78
29/12/2024,49.26
28/12/2024,49.26
27/12/2024,49.42
26/12/2024,49.05
25/12/2024,46.59
24/12/2024,45.83
23/12/2024,44.61
22/12/2024,45.28
21/12/2024,45.28
20/12/2024,43.55
19/12/2024,41.53
18/12/2024,42.51
17/12/2024,40.96
16/12/2024,41.84
15/12/2024,41.31
14/12/2024,41.31
13/12/2024,43.16
12/12/2024,45.23
11/12/2024,45.78
10/12/2024,44.60
09/12/2024,46.39
08/12/2024,46.26
07/12/2024,46.26
06/12/2024,46.42
05/12/2024,47.56
04/12/2024,48.78
03/12/2024,48.91
02/12/2024,47.43
01/12/2024,47.24
30/11/2024,47.24
29/11/2024,46.35
28/11/2024,46.58
27/11/2024,47.15
26/11/2024,47.88
25/11/2024,47.00
24/11/2024,46.62
23/11/2024,46.62
22/11/2024,48.40
21/11/2024,46.45
20/11/2024,45.39
19/11/2024,46.84
18/11/2024,45.98
17/11/2024,45.96
16/11/2024,45.96
15/11/2024,46.02
14/11/2024,43.86
13/11/2024,43.73
12/11/2024,43.61
11/11/2024,41.90
10/11/2024,41.94
09/11/2024,41.94
08/11/2024,41.31
07/11/2024,40.45
06/11/2024,40.50
05/11/2024,40.29
04/11/2024,39.05
03/11/2024,38.32
02/11/2024,38.32
01/11/2024,40.44
31/10/2024,41.72
30/10/2024,43.04
29/10/2024,42.80
28/10/2024,43.47
27/10/2024,43.45
26/10/2024,43.45
25/10/2024,42.07
24/10/2024,41.16
23/10/2024,40.42
22/10/2024,39.61
21/10/2024,38.91
20/10/2024,38.77
19/10/2024,38.77
18/10/2024,39.37
17/10/2024,38.92
16/10/2024,39.48
15/10/2024,39.93
14/10/2024,39.37
13/10/2024,39.17
12/10/2024,39.17
11/10/2024,39.79
10/10/2024,38.12
09/10/2024,38.59
08/10/2024,40.30
07/10/2024,40.74
06/10/2024,40.70
05/10/2024,40.70
04/10/2024,39.49
03/10/2024,38.64
02/10/2024,39.36
01/10/2024,38.94
30/09/2024,38.11
29/09/2024,38.01
28/09/2024,38.01
27/09/2024,38.07
26/09/2024,37.52
25/09/2024,35.81
24/09/2024,36.43
23/09/2024,34.99
22/09/2024,35.14
21/09/2024,35.14
20/09/2024,33.20
19/09/2024,35.82
18/09/2024,35.95
17/09/2024,34.52
16/09/2024,35.87
15/09/2024,35.53
14/09/2024,35.53
13/09/2024,35.14
12/09/2024,35.58
11/09/2024,34.75
10/09/2024,36.70
09/09/2024,36.27
08/09/2024,35.46
07/09/2024,35.46
06/09/2024,36.43
05/09/2024,36.30
04/09/2024,37.48
03/09/2024,39.64
02/09/2024,39.83
01/09/2024,39.88
31/08/2024,39.88
30/08/2024,39.22
29/08/2024,39.06
28/08/2024,39.15
27/08/2024,37.31
26/08/2024,37.37
25/08/2024,37.37
24/08/2024,37.37
23/08/2024,36.98
22/08/2024,37.45
21/08/2024,37.89
20/08/2024,39.91
19/08/2024,39.47
18/08/2024,39.51
17/08/2024,39.51
16/08/2024,39.22
15/08/2024,38.75
14/08/2024,39.16
13/08/2024,39.60
12/08/2024,39.55
11/08/2024,39.31
10/08/2024,39.31
09/08/2024,39.96
08/08/2024,37.96
07/08/2024,36.01
06/08/2024,36.18
05/08/2024,37.58
04/08/2024,37.22
03/08/2024,37.22
02/08/2024,37.64
01/08/2024,36.39
31/07/2024,35.41
30/07/2024,35.57
29/07/2024,33.20
28/07/2024,32.99
27/07/2024,32.99
26/07/2024,32.20
25/07/2024,33.17
24/07/2024,32.04
23/07/2024,31.88
22/07/2024,32.02
21/07/2024,31.75
20/07/2024,31.75
19/07/2024,32.65
18/07/2024,32.11
17/07/2024,32.74
16/07/2024,31.07
15/07/2024,31.35
14/07/2024,31.37
13/07/2024,31.37
12/07/2024,30.58
11/07/2024,30.38
10/07/2024,30.69
09/07/2024,31.66
08/07/2024,32.56
07/07/2024,32.42
06/07/2024,32.42
05/07/2024,32.95
04/07/2024,32.49
03/07/2024,33.33
02/07/2024,33.33
01/07/2024,34.21
30/06/2024,34.14
29/06/2024,34.14
28/06/2024,34.39
27/06/2024,34.37
26/06/2024,35.31
25/06/2024,34.25
24/06/2024,33.70
23/06/2024,33.49
22/06/2024,33.49
21/06/2024,34.49
20/06/2024,35.38
19/06/2024,34.22
18/06/2024,34.09
17/06/2024,35.25
16/06/2024,34.75
15/06/2024,34.75
14/06/2024,35.75
13/06/2024,35.26
12/06/2024,34.55
11/06/2024,35.02
10/06/2024,33.48
09/06/2024,33.41
08/06/2024,33.41
07/06/2024,33.96
06/06/2024,34.04
05/06/2024,34.80
04/06/2024,36.47
03/06/2024,34.45
02/06/2024,34.47
01/06/2024,34.47
31/05/2024,35.34
30/05/2024,34.35
29/05/2024,34.22
28/05/2024,34.54
27/05/2024,34.75
26/05/2024,34.75
25/05/2024,34.75
24/05/2024,35.88
23/05/2024,35.13
22/05/2024,33.46
21/05/2024,32.35
20/05/2024,30.90
19/05/2024,30.91
18/05/2024,30.91
17/05/2024,30.81
16/05/2024,29.85
15/05/2024,29.81
14/05/2024,29.23
13/05/2024,29.78
12/05/2024,29.27
11/05/2024,29.27
10/05/2024,30.77
09/05/2024,30.25
08/05/2024,30.72
07/05/2024,30.00
06/05/2024,29.56
05/05/2024,29.56
04/05/2024,29.56
03/05/2024,30.56
02/05/2024,29.12
01/05/2024,29.52
30/04/2024,28.26
29/04/2024,29.19
28/04/2024,29.18
27/04/2024,29.18
26/04/2024,30.27
25/04/2024,29.43
24/04/2024,28.65
23/04/2024,29.15
22/04/2024,29.98
21/04/2024,29.70
20/04/2024,29.70
19/04/2024,32.18
18/04/2024,30.70
17/04/2024,33.05
16/04/2024,31.05
15/04/2024,30.14
14/04/2024,29.69
13/04/2024,29.69
12/04/2024,29.62
11/04/2024,27.87
10/04/2024,27.61
09/04/2024,27.86
08/04/2024,27.08
07/04/2024,26.98
06/04/2024,26.98
05/04/2024,26.33
04/04/2024,26.00
03/04/2024,26.80
02/04/2024,27.23
01/04/2024,26.94
31/03/2024,26.94
30/03/2024,26.94
29/03/2024,26.94
28/03/2024,27.58
27/03/2024,27.12
26/03/2024,28.16
25/03/2024,27.70
24/03/2024,27.41
23/03/2024,27.41
22/03/2024,26.38
21/03/2024,27.89
20/03/2024,28.75
19/03/2024,28.65
18/03/2024,27.05
17/03/2024,27.08
16/03/2024,27.08
15/03/2024,25.71
14/03/2024,24.84
13/03/2024,24.76
12/03/2024,24.92
11/03/2024,26.19
10/03/2024,26.27
09/03/2024,26.27
08/03/2024,25.81
07/03/2024,26.01
06/03/2024,27.29
05/03/2024,26.52
04/03/2024,25.25
03/03/2024,25.16
02/03/2024,25.16
01/03/2024,24.45
29/02/2024,25.06
28/02/2024,24.40
27/02/2024,23.99
26/02/2024,22.73
25/02/2024,22.73
24/02/2024,22.73
23/02/2024,22.91
22/02/2024,23.78
21/02/2024,23.86
20/02/2024,23.30
19/02/2024,24.98
18/02/2024,24.83
17/02/2024,24.83
16/02/2024,24.45
15/02/2024,24.43
14/02/2024,25.15
13/02/2024,25.36
12/02/2024,26.64
11/02/2024,26.54
10/02/2024,26.54
09/02/2024,26.86
08/02/2024,27.27
07/02/2024,27.56
06/02/2024,27.68
05/02/2024,28.46
04/02/2024,28.46
03/02/2024,28.46
02/02/2024,27.63
01/02/2024,28.91
31/01/2024,28.71
30/01/2024,27.41
29/01/2024,27.07
28/01/2024,26.87
27/01/2024,26.87
26/01/2024,26.58
25/01/2024,27.94
24/01/2024,26.92
23/01/2024,27.48
22/01/2024,28.03
21/01/2024,28.23
20/01/2024,28.23
19/01/2024,27.46
18/01/2024,26.55
17/01/2024,28.51
16/01/2024,29.47
15/01/2024,30.78
14/01/2024,30.90
13/01/2024,30.90
12/01/2024,30.43
11/01/2024,30.85
10/01/2024,31.24
09/01/2024,32.37
08/01/2024,34.98
07/01/2024,34.60
06/01/2024,34.60
05/01/2024,32.77
04/01/2024,32.82
03/01/2024,30.11
02/01/2024,31.62
01/01/2024,31.58
