entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita,generation_ytd_twh,generation_ytd_share_pct,generation_ytd_kwh_per_capita,full_date
"Portugal","PRT",false,"2024-01","Bioenergy",false,0.26,5.99,24.94,0,0,0.47,0,0.26,5.99,24.94,"2024-01-01"
"Portugal","PRT",false,"2024-01","Coal",false,0,0,0,0,,0,0,0,0,0,"2024-01-01"
"Portugal","PRT",false,"2024-01","Gas",false,0.69,15.9,66.19,0.1,16.95,3.37,9.59,0.69,15.9,66.19,"2024-01-01"
"Portugal","PRT",false,"2024-01","Hydro",false,1.86,42.86,178.41,-0.3,-13.89,-3,-28.78,1.86,42.86,178.41,"2024-01-01"
"Portugal","PRT",false,"2024-01","Other fossil",false,0.02,0.46,1.92,0,0,0.04,0,0.02,0.46,1.92,"2024-01-01"
"Portugal","PRT",false,"2024-01","Solar",false,0.29,6.68,27.82,0.03,11.54,1.16,2.88,0.29,6.68,27.82,"2024-01-01"
"Portugal","PRT",false,"2024-01","Total generation",true,4.34,100,416.29,-0.37,-7.86,0,-35.49,4.34,100,416.29,"2024-01-01"
"Portugal","PRT",false,"2024-01","Wind",false,1.22,28.11,117.02,-0.2,-14.08,-2.04,-19.18,1.22,28.11,117.02,"2024-01-01"
"Portugal","PRT",false,"2024-02","Bioenergy",false,0.24,5.9,23.02,0,0,0.06,0,0.5,5.95,47.96,"2024-02-01"
"Portugal","PRT",false,"2024-02","Coal",false,0,0,0,0,,0,0,0,0,0,"2024-02-01"
"Portugal","PRT",false,"2024-02","Gas",false,0.41,10.07,39.33,-0.91,-68.94,-22.05,-87.29,1.1,13.08,105.51,"2024-02-01"
"Portugal","PRT",false,"2024-02","Hydro",false,1.48,36.36,141.96,0.43,40.95,10.81,41.25,3.34,39.71,320.37,"2024-02-01"
"Portugal","PRT",false,"2024-02","Other fossil",false,0.02,0.49,1.92,0,0,0,0,0.04,0.48,3.84,"2024-02-01"
"Portugal","PRT",false,"2024-02","Solar",false,0.4,9.83,38.37,0.09,29.03,2.29,8.63,0.69,8.2,66.19,"2024-02-01"
"Portugal","PRT",false,"2024-02","Total generation",true,4.07,100,390.4,-0.04,-0.97,0,-3.84,8.41,100,806.69,"2024-02-01"
"Portugal","PRT",false,"2024-02","Wind",false,1.52,37.35,145.8,0.35,29.91,8.88,33.57,2.74,32.58,262.82,"2024-02-01"
"Portugal","PRT",false,"2024-03","Bioenergy",false,0.25,5.15,23.98,-0.01,-3.85,-2.85,-0.96,0.75,5.66,71.94,"2024-03-01"
"Portugal","PRT",false,"2024-03","Coal",false,0,0,0,0,,0,0,0,0,0,"2024-03-01"
"Portugal","PRT",false,"2024-03","Gas",false,0.46,9.48,44.12,-0.19,-29.23,-10.52,-18.22,1.56,11.76,149.64,"2024-03-01"
"Portugal","PRT",false,"2024-03","Hydro",false,2.07,42.68,198.56,1.31,172.37,19.3,125.66,5.41,40.8,518.93,"2024-03-01"
"Portugal","PRT",false,"2024-03","Other fossil",false,0.02,0.41,1.92,0,0,-0.21,0,0.06,0.45,5.76,"2024-03-01"
"Portugal","PRT",false,"2024-03","Solar",false,0.47,9.69,45.08,0.07,17.5,-2.62,6.71,1.16,8.75,111.27,"2024-03-01"
"Portugal","PRT",false,"2024-03","Total generation",true,4.85,100,465.21,1.6,49.23,0,153.47,13.26,100,1271.91,"2024-03-01"
"Portugal","PRT",false,"2024-03","Wind",false,1.58,32.58,151.55,0.42,36.21,-3.11,40.29,4.32,32.58,414.38,"2024-03-01"
"Portugal","PRT",false,"2024-04","Bioenergy",false,0.27,6.99,25.9,0.01,3.85,-3.29,0.96,1.02,5.96,97.84,"2024-04-01"
"Portugal","PRT",false,"2024-04","Coal",false,0,0,0,0,,0,0,0,0,0,"2024-04-01"
"Portugal","PRT",false,"2024-04","Gas",false,0.16,4.15,15.35,-0.39,-70.91,-17.59,-37.41,1.72,10.05,164.98,"2024-04-01"
"Portugal","PRT",false,"2024-04","Hydro",false,1.64,42.49,157.31,1.29,368.57,28.66,123.74,7.05,41.18,676.24,"2024-04-01"
"Portugal","PRT",false,"2024-04","Other fossil",false,0.02,0.52,1.92,0.01,100,0.12,0.96,0.08,0.47,7.67,"2024-04-01"
"Portugal","PRT",false,"2024-04","Solar",false,0.62,16.06,59.47,0.11,21.57,-4.1,10.55,1.78,10.4,170.74,"2024-04-01"
"Portugal","PRT",false,"2024-04","Total generation",true,3.86,100,370.25,1.33,52.57,0,127.57,17.12,100,1642.16,"2024-04-01"
"Portugal","PRT",false,"2024-04","Wind",false,1.15,29.79,110.31,0.3,35.29,-3.81,28.78,5.47,31.95,524.69,"2024-04-01"
"Portugal","PRT",false,"2024-05","Bioenergy",false,0.3,9.58,28.78,0.06,25,1.16,5.76,1.32,6.52,126.62,"2024-05-01"
"Portugal","PRT",false,"2024-05","Coal",false,0,0,0,0,,0,0,0,0,0,"2024-05-01"
"Portugal","PRT",false,"2024-05","Gas",false,0.13,4.15,12.47,-0.55,-80.88,-19.71,-52.76,1.85,9.14,177.45,"2024-05-01"
"Portugal","PRT",false,"2024-05","Hydro",false,0.83,26.52,79.61,0.61,277.27,18.8,58.51,7.88,38.91,755.85,"2024-05-01"
"Portugal","PRT",false,"2024-05","Other fossil",false,0.02,0.64,1.92,0,0,-0.06,0,0.1,0.49,9.59,"2024-05-01"
"Portugal","PRT",false,"2024-05","Solar",false,0.76,24.28,72.9,0.2,35.71,4.63,19.18,2.54,12.54,243.64,"2024-05-01"
"Portugal","PRT",false,"2024-05","Total generation",true,3.13,100,300.23,0.28,9.82,0,26.86,20.25,100,1942.39,"2024-05-01"
"Portugal","PRT",false,"2024-05","Wind",false,1.09,34.82,104.55,-0.04,-3.54,-4.83,-3.84,6.56,32.4,629.24,"2024-05-01"
"Portugal","PRT",false,"2024-06","Bioenergy",false,0.27,10.63,25.9,0.04,17.39,3.04,3.84,1.59,6.98,152.51,"2024-06-01"
"Portugal","PRT",false,"2024-06","Coal",false,0,0,0,0,,0,0,0,0,0,"2024-06-01"
"Portugal","PRT",false,"2024-06","Gas",false,0.16,6.3,15.35,-0.92,-85.19,-29.34,-88.25,2.01,8.82,192.8,"2024-06-01"
"Portugal","PRT",false,"2024-06","Hydro",false,0.63,24.8,60.43,0.13,26,8.3,12.47,8.51,37.34,816.28,"2024-06-01"
"Portugal","PRT",false,"2024-06","Other fossil",false,0.02,0.79,1.92,0,0,0.13,0,0.12,0.53,11.51,"2024-06-01"
"Portugal","PRT",false,"2024-06","Solar",false,0.73,28.74,70.02,0.19,35.19,10.92,18.22,3.27,14.35,313.66,"2024-06-01"
"Portugal","PRT",false,"2024-06","Total generation",true,2.54,100,243.64,-0.49,-16.17,0,-47,22.79,100,2186.03,"2024-06-01"
"Portugal","PRT",false,"2024-06","Wind",false,0.73,28.74,70.02,0.07,10.61,6.96,6.71,7.29,31.99,699.26,"2024-06-01"
"Portugal","PRT",false,"2024-07","Bioenergy",false,0.27,9.31,25.9,0.03,12.5,1.97,2.88,1.86,7.24,178.41,"2024-07-01"
"Portugal","PRT",false,"2024-07","Coal",false,0,0,0,0,,0,0,0,0,0,"2024-07-01"
"Portugal","PRT",false,"2024-07","Gas",false,0.38,13.1,36.45,-0.82,-68.33,-23.6,-78.65,2.39,9.3,229.25,"2024-07-01"
"Portugal","PRT",false,"2024-07","Hydro",false,0.53,18.28,50.84,0.3,130.43,11.25,28.78,9.04,35.19,867.12,"2024-07-01"
"Portugal","PRT",false,"2024-07","Other fossil",false,0.02,0.69,1.92,0,0,0.08,0,0.14,0.54,13.43,"2024-07-01"
"Portugal","PRT",false,"2024-07","Solar",false,0.93,32.07,89.21,0.27,40.91,11.89,25.9,4.2,16.35,402.87,"2024-07-01"
"Portugal","PRT",false,"2024-07","Total generation",true,2.9,100,278.17,-0.37,-11.31,0,-35.49,25.69,100,2464.2,"2024-07-01"
"Portugal","PRT",false,"2024-07","Wind",false,0.77,26.55,73.86,-0.15,-16.3,-1.58,-14.39,8.06,31.37,773.12,"2024-07-01"
"Portugal","PRT",false,"2024-08","Bioenergy",false,0.29,10.07,27.82,0.03,11.54,1.71,2.88,2.15,7.53,206.23,"2024-08-01"
"Portugal","PRT",false,"2024-08","Coal",false,0,0,0,0,,0,0,0,0,0,"2024-08-01"
"Portugal","PRT",false,"2024-08","Gas",false,0.39,13.54,37.41,-0.59,-60.2,-17.97,-56.59,2.78,9.73,266.66,"2024-08-01"
"Portugal","PRT",false,"2024-08","Hydro",false,0.4,13.89,38.37,0.17,73.91,6.49,16.31,9.44,33.04,905.49,"2024-08-01"
"Portugal","PRT",false,"2024-08","Other fossil",false,0.02,0.69,1.92,0,0,0.05,0,0.16,0.56,15.35,"2024-08-01"
"Portugal","PRT",false,"2024-08","Solar",false,0.92,31.94,88.25,0.29,46.03,11.68,27.82,5.12,17.92,491.11,"2024-08-01"
"Portugal","PRT",false,"2024-08","Total generation",true,2.88,100,276.25,-0.23,-7.4,0,-22.06,28.57,100,2740.45,"2024-08-01"
"Portugal","PRT",false,"2024-08","Wind",false,0.86,29.86,82.49,-0.13,-13.13,-1.97,-12.47,8.92,31.22,855.61,"2024-08-01"
"Portugal","PRT",false,"2024-09","Bioenergy",false,0.25,8.8,23.98,0.02,8.7,0.73,1.92,2.4,7.64,230.21,"2024-09-01"
"Portugal","PRT",false,"2024-09","Coal",false,0,0,0,0,,0,0,0,0,0,"2024-09-01"
"Portugal","PRT",false,"2024-09","Gas",false,0.41,14.44,39.33,-0.64,-60.95,-22.4,-61.39,3.19,10.16,305.99,"2024-09-01"
"Portugal","PRT",false,"2024-09","Hydro",false,0.4,14.08,38.37,0.03,8.11,1.1,2.88,9.84,31.33,943.86,"2024-09-01"
"Portugal","PRT",false,"2024-09","Other fossil",false,0.02,0.7,1.92,0.01,100,0.35,0.96,0.18,0.57,17.27,"2024-09-01"
"Portugal","PRT",false,"2024-09","Solar",false,0.7,24.65,67.14,0.24,52.17,8.51,23.02,5.82,18.53,558.26,"2024-09-01"
"Portugal","PRT",false,"2024-09","Total generation",true,2.84,100,272.41,-0.01,-0.35,0,-0.96,31.41,100,3012.86,"2024-09-01"
"Portugal","PRT",false,"2024-09","Wind",false,1.06,37.32,101.68,0.33,45.21,11.71,31.65,9.98,31.77,957.29,"2024-09-01"
"Portugal","PRT",false,"2024-10","Bioenergy",false,0.22,6.4,21.1,-0.01,-4.35,-0.27,-0.96,2.62,7.52,251.31,"2024-10-01"
"Portugal","PRT",false,"2024-10","Coal",false,0,0,0,0,,0,0,0,0,0,"2024-10-01"
"Portugal","PRT",false,"2024-10","Gas",false,0.43,12.5,41.25,-0.29,-40.28,-8.37,-27.82,3.62,10.39,347.23,"2024-10-01"
"Portugal","PRT",false,"2024-10","Hydro",false,0.86,25,82.49,0.07,8.86,2.1,6.71,10.7,30.7,1026.35,"2024-10-01"
"Portugal","PRT",false,"2024-10","Other fossil",false,0.02,0.58,1.92,0.01,100,0.29,0.96,0.2,0.57,19.18,"2024-10-01"
"Portugal","PRT",false,"2024-10","Solar",false,0.48,13.95,46.04,0.11,29.73,3.23,10.55,6.3,18.08,604.3,"2024-10-01"
"Portugal","PRT",false,"2024-10","Total generation",true,3.44,100,329.97,-0.01,-0.29,0,-0.96,34.85,100,3342.83,"2024-10-01"
"Portugal","PRT",false,"2024-10","Wind",false,1.43,41.57,137.17,0.1,7.52,3.02,9.59,11.41,32.74,1094.45,"2024-10-01"
"Portugal","PRT",false,"2024-11","Bioenergy",false,0.23,6.63,22.06,0.03,15,1.8,2.88,2.85,7.44,273.37,"2024-11-01"
"Portugal","PRT",false,"2024-11","Coal",false,0,0,0,0,,0,0,0,0,0,"2024-11-01"
"Portugal","PRT",false,"2024-11","Gas",false,0.58,16.71,55.63,0.01,1.75,2.94,0.96,4.2,10.96,402.87,"2024-11-01"
"Portugal","PRT",false,"2024-11","Hydro",false,0.78,22.48,74.82,-0.9,-53.57,-18.1,-86.33,11.48,29.96,1101.17,"2024-11-01"
"Portugal","PRT",false,"2024-11","Other fossil",false,0.02,0.58,1.92,0.01,100,0.34,0.96,0.22,0.57,21.1,"2024-11-01"
"Portugal","PRT",false,"2024-11","Solar",false,0.39,11.24,37.41,0.09,30,3.99,8.63,6.69,17.46,641.71,"2024-11-01"
"Portugal","PRT",false,"2024-11","Total generation",true,3.47,100,332.84,-0.67,-16.18,0,-64.27,38.32,100,3675.67,"2024-11-01"
"Portugal","PRT",false,"2024-11","Wind",false,1.47,42.36,141,0.09,6.52,9.03,8.63,12.88,33.61,1235.46,"2024-11-01"
"Portugal","PRT",false,"2024-12","Bioenergy",false,0.26,7.81,24.94,0.01,4,1.21,0.96,3.11,7.47,298.31,"2024-12-01"
"Portugal","PRT",false,"2024-12","Coal",false,0,0,0,0,,0,0,0,0,0,"2024-12-01"
"Portugal","PRT",false,"2024-12","Gas",false,0.74,22.22,70.98,0.23,45.1,8.76,22.06,4.94,11.86,473.85,"2024-12-01"
"Portugal","PRT",false,"2024-12","Hydro",false,0.54,16.22,51.8,-1.01,-65.16,-24.68,-96.88,12.02,28.86,1152.96,"2024-12-01"
"Portugal","PRT",false,"2024-12","Other fossil",false,0.02,0.6,1.92,0.01,100,0.34,0.96,0.24,0.58,23.02,"2024-12-01"
"Portugal","PRT",false,"2024-12","Solar",false,0.52,15.62,49.88,0.25,92.59,8.5,23.98,7.21,17.31,691.59,"2024-12-01"
"Portugal","PRT",false,"2024-12","Total generation",true,3.33,100,319.42,-0.46,-12.14,0,-44.12,41.65,100,3995.09,"2024-12-01"
